arm,step,wall_time_seconds,maximum_memory_fraction,efficiency_objective_ratio_vs_q_one,efficiency_ci_low,efficiency_ci_high,minimum_off_diagonal_mean_level_cosine,v_512,v_1024_correction,v_2048_correction,v_4096_correction,c_512_ms,c_1024_ms,c_2048_ms,c_4096_ms
full,30,2026.5569469928741,0.6407779271154318,0.6528903220527279,0.6188200590224053,0.7005953755887873,0.9989411159904532,3.3320644929448644,0.019031974031542293,0.013921198069168726,0.014012406142746398,518.3142013549805,1047.698989868164,2274.852813720703,5446.308349609375
full,300,1963.2709674835205,0.6407779271154318,0.6770568744619331,0.6441025795474248,0.7301492859387375,0.98556888529401,0.4128138333753666,0.03861487503528553,0.02434683682936071,0.02140895904368615,518.4856643676758,1049.1667785644531,2278.951629638672,5459.1756591796875
full,1500,2021.02188706398,0.6407779271154318,0.6755634194161014,0.6518398639858853,0.7121682143478826,0.9408980554010076,0.25174928384703527,0.053439108252392155,0.02771219570208064,0.019996760628897693,519.0694427490234,1049.3260955810547,2279.4230346679688,5463.783203125
full,2700,2064.5418181419373,0.6407779271154318,0.6776683028734641,0.6543519985981758,0.714811042578417,0.7819997313905662,0.26919248049373695,0.06312271964335754,0.03305958007318482,0.020783974739867185,519.4003295898438,1049.2826385498047,2278.8914794921875,5460.976379394531
full,3000,1984.9681968688965,0.6407779271154318,0.6778466533950911,0.6544460781541469,0.7150340508318428,0.7346834820976634,0.27064631335252487,0.06384676207047177,0.03343585637780635,0.020956314578914288,519.7698593139648,1050.3938903808594,2280.2222595214844,5460.716125488281
rr,30,1949.8830711841583,0.6407779271154318,0.6528986438635089,0.6188269473949539,0.7006355631637047,0.9989065869469049,3.298969022307828,0.019089859054239496,0.013952755466126109,0.0140576076260189,518.0007705688477,1047.2729797363281,2274.206817626953,5445.164794921875
rr,300,2029.0586874485016,0.6407779271154318,0.6824745885917161,0.650079538543169,0.7357786890070142,0.9869378286616504,0.4708450861063506,0.03864164551317425,0.02496715078238955,0.02300896983311355,519.6674194335938,1049.6163482666016,2279.6065979003906,5462.0809326171875
rr,1500,2000.9644439220428,0.6407779271154318,0.6687547784712321,0.6468742386016318,0.7038369606066137,0.9367642804541272,0.21377378549332762,0.04562824466376085,0.02333349941345854,0.015463878926446491,518.3322525024414,1048.751953125,2278.583038330078,5457.959289550781
rr,2700,1991.3057463169098,0.6407779271154318,0.6685318190915969,0.6465314939381442,0.7035888689548827,0.7930207563411004,0.2400346243362685,0.05577109208578918,0.0275353048023202,0.016854808076119672,519.1335601806641,1049.4824829101562,2279.1015625,5455.530334472656
rr,3000,2482.7403206825256,0.6407457484130312,0.6693459689246228,0.647400163629217,0.704416083286595,0.7427046555677498,0.23986205014007803,0.05615099092572994,0.0277963639245217,0.016985065967615856,519.2634811401367,1049.7925109863281,2279.087188720703,5454.503662109375
